449,0
448,0
447,1
448,0
446,1
447,1
448,0
450,0
448,0
445,1
454,0
446,1
451,0
448,0
448,0
448,0
448,0
447,1
448,0
446,1
448,0
448,0
448,0
447,1
451,0
448,0
449,0
448,0
448,0
452,0
449,0
450,0
451,0
452,0
368,27
362,29
381,23
374,25
373,25
151,99
158,97
154,98
153,99
152,99
156,98
152,99
155,98
154,98
155,98
157,97
157,97
155,98
158,97
160,96
160,96
160,96
157,97
160,96
157,97
157,97
160,96
160,96
157,97
158,97
158,97
161,96
158,97
161,96
161,96
162,96
158,97
159,97
163,95
161,96
163,95
160,96
164,95
160,96
164,95
160,96
164,95
164,95
164,95
160,96
164,95
162,96
160,96
164,95
164,95
164,95
162,96
164,95
164,95
159,97
159,97
161,96
164,95
161,96
164,95
164,95
161,96
162,96
164,95
164,95
160,96
161,96
164,95
161,96
164,95
164,95
164,95
160,96
164,95
163,95
160,96
159,97
160,96
163,95
164,95
160,96
164,95
164,95
161,96
164,95
161,96
165,95
164,95
164,95
160,96
160,96
164,95
161,96
162,96
162,96
164,95
161,96
164,95
161,96
162,96
164,95
164,95
164,95
164,95
161,96
161,96
159,97
162,96
164,95
163,95
159,97
163,95
163,95
163,95
163,95
159,97
163,95
163,95
163,95
161,96
163,95
160,96
163,95
163,95
159,97
160,96
163,95
165,95
160,96
160,96
159,97
163,95
162,96
162,96
159,97
160,96
160,96
160,96
160,96
160,96
160,96
159,97
163,95
159,97
163,95
162,96
160,96
162,96
160,96
159,97
163,95
159,97
162,96
162,96
160,96
160,96
158,97
159,97
163,95
162,96
162,96
162,96
162,96
162,96
162,96
162,96
162,96
159,97
162,96
159,97
162,96
162,96
162,96
162,96
160,96
160,96
158,97
159,97
162,96
159,97
160,96
163,95
162,96
161,96
162,96
162,96
158,97
162,96
160,96
160,96
162,96
160,96
160,96
159,97
160,96
160,96
162,96
162,96
160,96
160,96
159,97
159,97
162,96
162,96
160,96
163,95
161,96
160,96
160,96
160,96
159,97
160,96
160,96
163,95
163,95
159,97
160,96
163,95
159,97
163,95
163,95
160,96
161,96
160,96
160,96
159,97
161,96
164,95
160,96
161,96
161,96
164,95
160,96
162,96
164,95
162,96
164,95
164,95
165,95
162,96
160,96
161,96
160,96
165,95
164,95
165,95
165,95
163,95
163,95
160,96
161,96
162,96
165,95
162,96
166,94
162,96
165,95
162,96
166,94
163,95
163,95
163,95
164,95
164,95
164,95
166,94
163,95
167,94
167,94
167,94
163,95
163,95
163,95
166,94
166,94
167,94
167,94
164,95
164,95
163,95
166,94
163,95
167,94
166,94
167,94
165,95
163,95
167,94
166,94
168,94
163,95
164,95
167,94
168,94
167,94
164,95
167,94
167,94
166,94
163,95
166,94
167,94
211,79
216,78
215,78
219,77
220,76
216,78
218,77
217,77
219,77
222,76
222,76
218,77
219,77
219,77
223,75
218,77
224,75
224,75
224,75
222,76
218,77
220,76
220,76
225,75
224,75
220,76
225,75
220,76
222,76
225,75
221,76
221,76
221,76
221,76
226,74
221,76
227,74
223,75
222,76
226,74
223,75
222,76
227,74
223,75
227,74
227,74
222,76
227,74
224,75
227,74
222,76
224,75
224,75
227,74
228,74
222,76
227,74
224,75
222,76
223,75
227,74
228,74
228,74
228,74
228,74
222,76
225,75
228,74
228,74
225,75
229,73
229,73
226,74
228,74
223,75
225,75
223,75
229,73
229,73
229,73
223,75
223,75
228,74
228,74
224,75
223,75
223,75
221,76
223,75
222,76
222,76
227,74
222,76
227,74
224,75
222,76
222,76
228,74
228,74
228,74
228,74
224,75
223,75
224,75
224,75
228,74
227,74
221,76
224,75
223,75
222,76
227,74
227,74
228,74
228,74
224,75
228,74
228,74
224,75
228,74
221,76
228,74
227,74
227,74
227,74
223,75
224,75
227,74
224,75
223,75
228,74
224,75
224,75
228,74
225,75
228,74
228,74
228,74
225,75
223,75
229,73
228,74
228,74
228,74
228,74
228,74
225,75
228,74
224,75
225,75
223,75
228,74
223,75
228,74
229,73
224,75
224,75
227,74
228,74
222,76
228,74
224,75
228,74
229,73
223,75
228,74
229,73
224,75
229,73
229,73
227,74
225,75
228,74
226,74
229,73
229,73
224,75
226,74
226,74
229,73
229,73
229,73
229,73
226,74
228,74
229,73
229,73
229,73
229,73
229,73
229,73
225,75
229,73
229,73
229,73
229,73
225,75
229,73
226,74
224,75
